customer_id,full_name,age,income,city,state,loan_id,loan_type,loan_amount,interest_rate,loan_status,credit_score,issue_date,payment_amount
7f573ff9-0d79-4c2a-bc78-4edd7c95b3fe,Sharon Murphy,28,1928911,Jamesshire,Illinois,332ea70b-be5c-4d37-ac45-e410b4307513,Auto,3140007,6.79,Active,676,7/31/2017,17049
4c52c04a-db27-4053-96de-ecc82d40679c,Todd Crawford,28,1925829,Tracyland,Tennessee,d35b55e9-8992-4fe2-ac23-9d7acf220def,Home,100151,6.54,Defaulted,640,5/2/2016,78164
4112a0aa-400d-449e-8816-5a8d7a0cc924,Tanner Hill,41,1439920,Raymondton,Missouri,c6a60313-1099-4380-879d-5548651aaf98,Home,4606313,6.16,Closed,476,6/11/2017,68678
3e0c405c-f9f5-418e-8f12-b5c38d011198,Nicole Cox,53,102289,New Nancytown,Mississippi,b8c881ae-d945-4070-985a-31f988a27c0f,Auto,2704981,13.9,Defaulted,725,9/14/2020,81379
d562d615-fb57-4a29-8f22-975101b71a6d,Tracey Ramirez,57,660794,East Loganstad,Connecticut,664b9ecc-68cf-4f89-b482-dfe31faaff06,Education,122847,7.84,Active,723,11/23/2020,30236
816e098c-246a-4c99-aaa6-2392aef8aa3b,Charlotte Daniels,41,1671377,North Victoria,Wyoming,8d3adcc2-ef95-4e64-8d5b-92ac8121a641,Home,2889611,10.42,Defaulted,473,11/16/2016,22123
7b6babe6-09b0-4b13-bbeb-f4a622e95dbb,Andrea Weber,20,1481666,Port Allisonton,New Jersey,c992912b-cdda-4ac6-9f17-84a496c7187b,Auto,2358963,17.93,Defaulted,705,3/11/2019,27007
bc4019db-8f83-4d21-ac7a-f0d78cd6ac09,Jennifer Knight,39,1774867,New Rachelborough,Virginia,7b294634-9396-4989-8c79-ceeeeb9b047b,Personal,3073946,11.37,Active,381,5/6/2019,81361
cf4343cf-72d0-44b4-971d-eac52e8dbd0c,Danielle Fernandez,19,1469466,Joeborough,Nebraska,68af9042-5320-4fef-8d7a-9b3675e09e07,Auto,543570,18.74,Closed,320,3/18/2019,11142
56ab147f-1753-40ce-8eb9-d69ccb0b019e,Jessica Barajas,41,1381236,Lopezside,Louisiana,e69b0432-fc5c-4e34-9a83-8a857a90a897,Auto,1026446,12.47,Defaulted,697,8/6/2023,29498
d08a534e-d182-485d-9303-a99e3a5f87c8,William Boyle,61,279480,Lake Julie,Nebraska,1acac27a-97ac-4c81-9dcd-a54b8d1564dc,Business,3933755,10.98,Defaulted,629,3/9/2023,34226
df96b5f7-04fa-48dc-a3ee-c26b4efb4883,Mr. Anthony Bailey,47,1854907,East Robert,Indiana,2a101fca-d840-49f9-8142-3c5969f6976d,Home,4667663,16.26,Active,524,4/1/2024,41348
de6ceade-eb2d-4bba-8093-9dd5f70e4a6c,Melanie Hernandez,55,1784622,Joshuafurt,Rhode Island,f556ad93-9a10-48bc-a3f3-37edd45406fb,Education,3545652,6.1,Closed,701,6/18/2016,28524
57fc3af6-07ca-465a-8999-58e35b368fdb,Robert Washington,19,1556643,Elizabethstad,Kentucky,9ed60b61-356a-4d21-9c89-8bb446383313,Education,742101,6.34,Active,737,1/1/2017,50489
a94d4e63-df84-455d-9851-6e8dc95ceb12,Jonathan Davis,38,1399932,Reedville,New Jersey,07662eff-5a92-4535-8e5f-4389c46e175b,Business,3615842,14.78,Active,571,10/5/2022,16298
ef074ea6-4832-40f4-ae9a-f5778f25c826,Anthony Morrison,50,153498,Matthewchester,Texas,2459a89f-c5b5-4c52-aaef-79c5342f23fb,Education,4761953,12.3,Defaulted,579,10/31/2018,13135
921a3004-ffd8-4dda-8dfd-32d0e7cc792d,Melissa Hart,29,1322600,West Tammyburgh,Iowa,8217069c-2848-49db-8bc5-dd1be0de4939,Auto,149919,16.86,Closed,522,12/15/2019,73916
82fb123b-02a9-4db3-9d49-89809ee6b814,Allison Graves,39,1723834,East Micheleview,New Jersey,696d671a-f9a6-4459-8ddf-916dbb8fd276,Business,3570726,18.74,Active,808,8/31/2023,93125
7db19a41-6265-41b6-b5d6-dd9aeab1988b,Angela Jenkins,61,1158585,New Daniel,Maryland,adac570a-d30b-40d2-a2d7-c5283728828b,Personal,1315322,10.83,Defaulted,641,2/20/2018,99002
bbd68c28-8008-4cb5-8512-8490b9873c18,Jamie Hanna,42,743858,Stevensmouth,Louisiana,8c9d1037-1819-4627-913d-adc4a5734b7e,Home,3389748,13.95,Active,341,10/20/2020,37788
5da79310-7441-4ec5-bab7-65ca65d6863b,Michele Mahoney,66,443159,South Joshua,Missouri,5e802ead-aabe-4141-adcc-48520328947c,Home,3781784,12.51,Defaulted,475,4/29/2015,25920
2acd9961-5e27-489e-bc96-3080386a0837,Ashley Matthews,44,741755,Lake Matthewhaven,Michigan,7b75a642-888c-4c1e-b1f3-b1ea3bd010e5,Home,3594450,19.72,Closed,544,9/30/2020,63015
7cda18a4-cfc1-4141-aca4-6a1cd96f0bfc,William Cooley,59,64816,Lake Rodneyview,New Jersey,43211e3b-cf78-4dc0-afa0-03bf693fcc64,Auto,4789197,17.47,Active,552,8/6/2022,64010
d7628b3b-28b0-4846-9aad-39e15d89eaf1,Debra Smith,45,24138,Brianville,North Carolina,da57a6b6-561e-4f33-a445-7da731000974,Personal,2750030,18.68,Closed,573,9/27/2020,6643
6c5d59ad-4403-4ba1-a0bf-2ede0eb61ace,David Sanchez,33,1159752,North Jamesmouth,South Carolina,8fd13fc3-1b4d-401e-8f42-4781cc1c3a53,Business,1898523,8.82,Closed,633,12/21/2018,51094
4127c45c-1951-418c-89cc-8e8e3ac85729,Richard Shannon,32,1406665,Lake Nathanland,Maine,3c66ae76-4fd9-4356-a968-24d218601e96,Business,1447931,16.59,Defaulted,310,2/20/2016,17729
6f3ae9b4-87b7-4d75-91f5-7ae7331540ab,Kevin Butler,64,810449,Lake Howard,Iowa,2214480e-e558-4c65-a5c5-1efae0f1dd27,Home,481838,8.98,Active,451,4/8/2021,54046
00255c68-5b93-491a-8b54-d2169e66d6ba,Zachary Hamilton,68,816883,East Morgan,Nevada,866a210d-00c3-402c-bddd-28e882b7e0ca,Personal,1901608,8.13,Active,488,2/12/2017,62039
d3932273-91d4-4133-bb7c-7909903ad1d9,Alexander Osborne,61,1786892,North Whitneyberg,Maryland,37fa7145-29aa-44af-8c7b-757e3654099e,Personal,2037881,19.16,Defaulted,510,9/6/2020,42284
bba1c5ab-bf72-4846-a07c-9a295b2cacb2,Wendy Flowers,69,376007,New Grantview,Pennsylvania,66979856-9dd1-4b9d-8dca-f300092863b4,Personal,1758365,5.29,Defaulted,396,3/30/2020,73146
3483fad6-1225-4ba8-a8a3-26c2b3103a13,Paul Carter,20,816710,South Steven,Indiana,169063f9-944b-4459-98f8-33297c2299e6,Education,709966,19.48,Closed,638,11/6/2021,85058
c2d63813-1581-407e-a5ca-6d6d2a70c031,Arthur Vaughn,54,241552,Smithland,Massachusetts,168034e0-c304-4106-ae05-bcfcbab8c667,Education,3834396,7.24,Active,346,11/14/2014,87309
a3ecafd8-7140-4582-a4f6-62b75c5e18aa,Stephen Garrison,68,63764,New Joseph,Rhode Island,322c76b9-b64a-4c0a-a621-3c43942954ce,Home,4939798,17.29,Active,356,1/11/2024,12804
84fe99a5-9af4-4f7f-af58-3fae86574eef,Megan Dunn,24,143030,Smithborough,South Dakota,efc4fca0-5cf9-4459-809d-cb4298ed2501,Personal,4184129,9.14,Defaulted,374,8/25/2019,58867
d5055d5c-db35-4e11-8331-ce9c1b2b937e,Ronald Gordon,38,938638,Sarahmouth,Wisconsin,d147141c-5c35-455e-a6ab-49b932c2598a,Personal,4400851,10.26,Defaulted,553,12/7/2014,8816
d6514948-3c06-437d-8cac-6309b60e37ed,Lisa Harrison,26,1917951,East Christopherstad,South Carolina,bf42463c-51bd-4b46-97e8-76a8506791d4,Business,1250761,8.25,Defaulted,469,3/26/2023,28473
255ab3a5-1bc4-4311-a6f6-256d1446761a,Craig Moore,56,1688531,Paulberg,South Carolina,19c47886-1f4b-4106-a0c4-6dd64fbd67ad,Business,3871099,13.78,Active,445,7/19/2018,12932
58dbc809-f8d3-4f1f-967e-dcd906a868f0,Pamela Howard,35,336462,Port Jennifershire,Vermont,971da395-f1d3-4e32-891f-bb1b2c216240,Home,4300050,10.22,Active,332,4/17/2019,50410
7b6a2f6d-4bd5-4294-a23f-8df81c313aa6,Dawn Bowen,21,909855,Port Oliviashire,Idaho,79be9dd1-d702-4075-913e-7f98c2e47ecf,Personal,4105235,14.86,Closed,814,8/29/2021,84030
ba564404-ffd3-4670-93b3-fffd37a39541,Derrick Rodriguez,42,1434718,Kennethfort,Utah,d0a1ac33-c334-4beb-a741-ae2839a5a074,Home,3893941,5.23,Defaulted,556,6/29/2016,24709
fad8aba3-277b-492f-afbe-2158957ea598,Brady Rodgers,31,80128,Anthonyland,Oregon,e7503add-d284-4e07-a024-5745d8e273e4,Business,2315545,5.97,Closed,425,8/18/2024,96725
98a9b7ba-d142-46e4-997c-9bfd04d87e09,Colin Walters,67,239128,South Christineton,Kansas,7963e8e1-b69e-4503-a876-bf825ecbb5bb,Business,643167,6.49,Active,412,11/28/2014,97441
4c8135bc-6a3f-4f64-ae41-ce0e685df211,Timothy Hurley,26,828301,West Pamela,Colorado,b4aba3fa-6e9c-4fed-bf79-5df95fc5d71b,Education,1820358,11.28,Closed,641,3/8/2018,7487
5546e6af-92e2-43e6-a1cb-2b60215c1899,Brian Reyes,43,1302116,Angelahaven,Massachusetts,fdda7c3a-c8a8-4999-a991-efe1b336d987,Home,698843,17.22,Closed,347,12/12/2015,18204
10bc2424-89ea-45da-ae49-7124ac8b9667,Angela Bryant,19,25039,East Bobbyville,North Carolina,467e3be8-66e4-4d22-8a66-45159045a162,Home,3551174,18.32,Closed,663,7/19/2020,6988
d6e2dbe3-78cb-4a07-9bc8-f8fdd52e44e2,Thomas Ellis,37,172353,Wrightfort,Florida,eff1c48f-f642-4136-9e1b-e331c945e2a3,Personal,958840,8.67,Defaulted,697,3/22/2015,28364
3e5227fd-ba56-4bc9-831a-edc385bd31d2,Kimberly Campbell,45,132935,New Russellstad,Wisconsin,d80e84ed-e811-4f44-8e04-dd3d83daf285,Personal,840023,13.62,Active,494,11/21/2015,39403
ed2790e3-cf9e-417d-98c4-5171509724bd,Robert Stewart,64,1603306,New Jaredview,Georgia,a0227693-e105-471e-8947-52a3b46db645,Education,4885461,16.53,Defaulted,620,12/12/2018,22048
f9908eb8-0b78-42e7-973c-a166086ac331,Tara Hoffman,24,1928796,North Toddhaven,Georgia,b3549785-0d0f-4e0f-bc67-cb40c483cd26,Auto,3212466,9.33,Closed,437,5/15/2021,8093
6daf5960-c0b4-438f-b435-544605288630,Justin Stephens,61,1974737,Port Michaelshire,Virginia,5b5802e0-04fc-465f-90fa-80f4ab5ec845,Auto,1232279,11.14,Defaulted,654,5/26/2019,84483
e7ffece2-6f02-4799-a6b3-5bc2d61b847e,Andrea Boyle,25,1358306,Feliciafort,Maine,17abbf75-c0a9-44c1-a6c4-4c38d1826f5b,Auto,1771841,12.86,Active,369,11/25/2020,97271
56a3d018-b704-4e2b-90a1-24111fb91c74,Mr. Kevin Cook,64,73053,Cindytown,Hawaii,16e15f81-e519-4f46-a6d6-ef6f46cb2d6d,Home,1641920,7.02,Active,782,8/24/2023,30196
5d64f1ac-f59d-4e64-87fa-09a9613b9a38,Steven Norman,52,1250137,New Laura,Illinois,e6561386-583a-4563-8a3d-f58c30186b63,Home,3960762,5.39,Closed,358,6/15/2017,23727
9c908c48-4089-4570-bf2c-cf6f4c24b2dc,Brandon Cummings,31,1807040,West Wayne,Alaska,57beebbc-221e-4dac-a471-fa8b2cda51ae,Business,3774434,7.29,Closed,688,1/20/2020,43167
e5c2223c-8840-4543-b689-80a5f584bb2c,Karen Romero,34,106346,Jessefort,Florida,e9bb4098-0a04-4bae-8c7f-02018393d6be,Home,873622,14.4,Defaulted,650,6/7/2016,25884
579db054-e909-4002-90f0-89c9ff42d465,Leslie Olson,53,349231,West Allison,North Dakota,16fec58e-3ff1-41ed-8359-59cb60b12dfe,Home,76014,6.1,Active,638,12/8/2022,35607
ed7347f5-a992-4a83-b289-b25b9798f65a,Samantha Grant,67,425841,North Joanne,Hawaii,bac1e171-973f-43fd-b640-bd72dc12d6c2,Home,3193889,7.85,Active,735,3/2/2018,74211
9bb42bba-5d40-4e11-854a-a9e1b94702f2,Harold Perez,57,578685,Andrewside,North Carolina,d3f3d004-7c94-4775-ab14-d24f11b2f1a7,Education,1826935,10.07,Defaulted,749,10/20/2020,45312
cab12542-7f01-4f6e-96c9-656a24443a61,Nicholas Parker,21,1389391,Steventon,Delaware,2514baba-254e-48b6-95cc-ccaa5ee30b28,Home,3959005,6.17,Active,676,3/22/2016,41769
96e7e24a-2413-4b64-a8e6-54200972792d,Daniel Thompson,19,136214,Sierraport,South Carolina,fabe1c70-736a-481b-a596-77c28d8fc512,Personal,4425654,7.88,Closed,690,2/18/2023,10575
ce6fc9b9-3791-4123-a9dc-cb4753b89ebc,Michael Rodriguez,23,505001,Ritaside,Arizona,ca69d1bc-0734-41a7-a002-7a4ba7e5257a,Personal,2935364,18.67,Closed,780,11/14/2015,36074
f45a0921-d1e2-4e25-bdcf-b56449479c1c,Melissa Perez,59,873329,Powellburgh,Wisconsin,3c15b93d-d846-4472-aa4e-3e8fef85b46b,Business,534859,5.29,Defaulted,413,8/27/2024,92292
14a4b87f-ea9e-4110-880c-26d902242fe2,Steven Johnson,21,1750085,Charlesport,Wisconsin,5fd3bca1-3e89-4d3b-a05a-bb4737a61d87,Education,764618,14.8,Defaulted,471,11/22/2022,11664
d82ef842-68d5-47b6-b3bc-b3a5c46a6670,Julie Torres,46,1007410,New Leslieton,Mississippi,14b30140-56f0-4abe-96c3-63e075faf5db,Personal,4734643,10.77,Defaulted,317,11/15/2017,81650
dabe08db-8e4e-4d68-b8fc-49a747b1a28a,Matthew Brown,35,1467075,Davidton,Michigan,d7e2ef7f-21be-4d04-ae75-1513fe0a13d1,Education,92192,15.09,Closed,534,11/15/2022,88060
ed14a55d-3a37-454d-8395-7fbb6439ffcf,Bryce Carter,43,420826,Port Davidshire,Illinois,6c2d24db-8d43-4368-a5c1-7b23f1214828,Education,941307,13.83,Defaulted,609,4/10/2015,77695
1492df83-515c-45f6-aa6f-2d1fd017d76b,Michael Barton,61,456542,Tinaland,Nevada,f44857e0-3d20-4cf5-8134-ab5592021786,Business,1058008,8.35,Active,580,11/4/2017,14299
97a812c6-c2ed-4719-8af8-f71d8df20dc5,Dana Garcia,51,1345644,North Gwendolyntown,Oregon,f68d5456-a573-43a6-875f-f0d455c18e3c,Education,1459849,17.71,Defaulted,495,4/11/2020,29032
1b93983a-7583-402f-9e30-a9d7addf922f,Donald Lane,27,657431,Robertston,Maine,94876866-94ca-47ee-9fe1-b89b3c902269,Home,93923,12.38,Active,414,6/28/2023,42397
855fdd34-9683-4c87-b295-0c39d3a6d0b6,Margaret Khan,53,392397,Courtneyport,Oregon,6d7b354e-7a1f-4233-9a6d-a507ea88591f,Education,1712060,17.34,Closed,696,1/26/2015,66991
22e3e1c1-1689-4e40-bd80-8ef09f94ea02,Julie Cain,31,382441,East Stephenfurt,Tennessee,d358c523-4116-45eb-89e5-c7df2096b886,Business,3579619,11.09,Active,717,8/27/2015,56919
7e66e0a6-a527-4188-a6c9-cf02e91edf00,Karen Briggs MD,48,1855877,New Michael,Louisiana,0dd2993b-7c75-4f2f-97b1-4833d91b7e30,Business,2899896,19.77,Active,583,11/24/2016,59447
93a64a68-26cd-44b3-afe2-07b919a324de,John Gonzalez,65,903520,Danielhaven,Pennsylvania,2c85ccb7-b9ac-487a-9e82-668a4d15789f,Business,2742468,16.56,Active,627,7/9/2021,66498
eec73b37-b710-4785-9531-6c48eba94280,Sharon Ramirez,32,1856022,Henryview,West Virginia,b474ce91-9aba-403a-89f8-a5a5f0f8c546,Personal,997226,19.49,Closed,640,8/6/2016,45572
23f94555-6319-4d36-97c6-3cfb72b86f75,Katherine Brown,25,554391,New Thomas,Oklahoma,ae572470-886a-43e1-a3c5-32c24f73498e,Home,816751,12.71,Active,520,8/1/2020,71274
3e6fc649-bcd7-4c57-a5b5-ff0e817b33dc,Ellen Hammond PhD,31,1544314,North Katherine,Oregon,bbebabfe-c18b-4029-8ec0-64b3682bbafe,Personal,4909648,12.11,Active,308,4/7/2015,98802
cab609f1-0491-409f-98f5-fe607733028b,Daniel Williams,40,1965325,Port Edwardchester,Pennsylvania,eddabbed-73f2-4d9e-aa9c-28e1872f5abf,Auto,2113632,16.33,Defaulted,381,4/18/2015,17775
5f6d281e-a1a7-48fd-8347-eac96c373eb1,Caitlin Drake,57,446674,Turnerhaven,Nevada,26255db3-16c0-4cb6-ad70-a1c1bfdd37e7,Home,3026760,18.2,Defaulted,593,6/18/2024,36389
da56a174-c6a0-4198-a5d0-f94b9433d9fc,Dillon Daniels,38,1028109,West Beth,Georgia,2b739c17-e683-4bb0-b716-b6086b8446bb,Education,3923416,19.46,Defaulted,674,3/7/2018,82254
e3a6dcbd-994e-4326-bc2c-10d0812ac55c,Jessica Adams,33,102409,Hughesshire,Delaware,58cd8e93-25a9-4a70-80b4-7af10303bcc0,Business,2593071,9.87,Active,833,3/15/2019,7176
3d1ba446-f28d-409c-b562-9798de61104a,Timothy Brown,62,1091824,North Jackberg,Tennessee,1cc70873-147f-4531-bc48-6ea63b7ea108,Auto,4383087,16.98,Active,714,12/17/2018,49263
caa38cc4-91d2-42bf-8e4d-b910c170ee89,David Floyd,35,1550952,Wallaceshire,Missouri,3a57ef51-45ba-407f-92ee-06a8d3b147b2,Home,3805564,8.16,Closed,398,9/10/2021,10112
e951116a-0440-4d68-9aa4-8aa7fe8968c4,Margaret Reynolds,64,718876,Vincenthaven,North Dakota,140ed894-8041-4d9b-96d2-90644bd00fe9,Personal,1591661,13.18,Active,681,4/3/2023,88639
3b6d40f5-2fd0-411a-9e58-5b12c118d281,Ian Mcdonald,41,1748106,New Lauren,Maryland,2d33595d-b82a-4284-a7f9-95e89ad836ce,Business,4739491,7.7,Active,803,11/5/2018,28033
6f13a40c-30c6-4d98-93e8-c81ebe8eeffc,Kenneth Jones,43,1076600,Crystalside,Kansas,8b1089a5-8851-427e-a67e-e256f77f8582,Personal,3845109,10.21,Closed,746,12/24/2022,20984
0b91bd32-d265-4199-b046-8b3290721923,Jamie Jones,42,495430,Port Erinhaven,Minnesota,e1c6e951-8d4c-4551-a841-005ed1ee7922,Home,1951563,18.97,Active,643,1/16/2021,32742
a96d1c25-2b07-486f-b408-4482d1a2ec8f,David Christian,62,1303440,Bennettchester,Wisconsin,f1cc0881-dced-4efa-bdc3-e05f8b038cd8,Home,3547720,7.19,Closed,724,8/11/2022,71044
87fbfcfc-a654-450a-8e33-8cd7c00e3955,Brian Gregory,58,1940955,South Kimberlyland,Alaska,e4b5ddcb-4b04-48b5-90af-377ceaee9cb7,Auto,2941838,14.49,Closed,605,5/16/2023,40210
b66dce47-a885-45da-9688-f2a3ae863dfb,Katherine Washington,46,1243451,Ericmouth,Maryland,11d3ed19-9fb6-45cd-a1d1-262a16396a41,Education,4631858,13.89,Defaulted,447,4/26/2024,57806
105f4897-c4d2-4f2e-91b8-541447782226,Elizabeth Herrera,32,956800,Michaelchester,West Virginia,5c8aaad2-62a7-45d5-bc05-50ef0aca637f,Personal,2900467,6.81,Active,753,11/5/2019,60132
42d7a3bf-ee1d-497c-866f-5a030fd45049,Danielle Esparza,62,1422549,Jermaineport,Minnesota,63d7668e-7aee-411c-b37b-46b8b4124290,Auto,2617488,9.89,Defaulted,332,2/1/2022,72752
e8550cac-bd70-4740-91f5-aa934a83283d,Stacey Wright,18,1947716,Williamton,Vermont,6e262096-2ae8-4c88-9294-680b1f021596,Business,3403800,13.44,Active,800,1/28/2019,25269
17d50dac-d462-45ea-a2fb-e7e946f39d34,Andrea Lamb,42,1941672,New Lisafort,Virginia,a3a6ab6f-129f-42b7-90a7-9b6667187e71,Education,3443757,7.81,Defaulted,618,7/31/2022,66796
5e56e5e2-865e-4ee3-bf32-1860f9b5eec6,Zoe Green,24,1480049,Lake Shannon,Tennessee,b8298eda-6947-445f-a58f-8206ab32d356,Auto,3404775,17.01,Closed,492,8/21/2020,7833
97e5944a-e5bd-4865-8077-7e1db7f2cbca,Stephen Mendoza,26,1212503,Laurachester,Maryland,7ca78008-ae50-4b63-a9be-a36935df4926,Personal,180509,19.58,Closed,479,4/16/2019,10527
66199f11-16bd-44d8-a407-f7f67061e7a9,Deborah Sandoval,41,1153754,Brownshire,Wyoming,7ce2938d-d228-4cf0-bec1-fc29f4b08c9e,Home,2909224,8.22,Closed,817,1/10/2020,6944
644461da-f340-40cc-b9d4-085633b683e8,Terri Solis,18,1067380,Lake Mark,Texas,1ccfdcc9-87f7-4f75-977f-f9b9455041ce,Business,2674713,7.8,Closed,690,7/9/2020,23518
b5330ea6-3068-46b8-921f-ba0992ca3a83,Jennifer Rosales MD,61,907553,Laurenland,Utah,9ecd9f80-2d63-4fec-a6cb-0bd655567dc5,Personal,589618,11.82,Active,820,3/29/2024,89795
9434d25e-3517-473a-8ef5-457aeede02f7,Adam Schroeder,25,1585116,Moodymouth,Wisconsin,dfb1bc4d-b8ff-4a90-a59b-dcc2c29da5eb,Education,2299718,16.22,Active,656,3/2/2022,96396
49b99d2d-6be4-4601-9b32-c859778fdaf0,Daniel Harvey,41,826457,Jamesstad,Arkansas,a1706c3e-8e62-466d-bc7c-2a4ae506b351,Education,2747862,9.22,Defaulted,763,4/30/2022,98095
80b4a1f7-8a9d-477d-83e9-c29c7bda2c52,Alyssa Meza,28,1466250,New Scott,Idaho,043808a0-43cd-4b60-a768-2467864ce10a,Home,958521,5.3,Active,398,7/23/2024,34102
949bc117-20e0-4228-9e0a-53e040dbac04,Michael Jones,68,1132186,Melindafort,Minnesota,7639d5ab-3e06-46ae-a784-a1bbdd103c28,Home,53212,13.12,Active,447,2/21/2020,8669
9b4a2147-a0f8-4479-bc3f-3db1051efd74,Mallory Alexander,34,1663707,Taylorbury,Montana,f71131b9-5308-4ed6-ac94-83678d810873,Business,282131,19.35,Defaulted,615,9/19/2020,26379
1d828487-4a8e-46c1-8d04-c3438fdd8aa5,Erica Jones,25,651525,West Jasonport,Maryland,e0fadd7b-3f08-457b-9c15-65eeae5f9da5,Business,526657,10.87,Closed,481,6/24/2024,24712
9c15edef-4d14-4e6b-ae09-56b2461d7503,Gregory Meadows,52,1545753,Castillostad,North Dakota,b1b782f5-8a2b-4b64-a2ba-e65f2ee80973,Home,1710458,11.3,Defaulted,846,1/27/2024,20191
dc9c931e-abc9-4417-83f4-a2c657724bb4,Paula Castro,52,1773767,Burnschester,Mississippi,c6ba2ebc-3b75-4ba7-98ae-fb1534a41a6e,Home,688093,19.53,Defaulted,602,3/12/2021,14259
358f241e-317d-466d-89cb-cdca730ef124,Heather Burnett,50,718787,Bennettbury,Arizona,1d667286-010b-496a-9574-0750c5faaf4e,Education,3540513,15.42,Closed,303,11/28/2017,38958
1ef62822-03fc-4a7f-b1ac-b420d4826cdb,Dylan Thomas,22,1555601,West Kelly,New Jersey,2b69717c-5336-4543-97aa-dfa833444917,Home,1885647,15.79,Defaulted,406,11/13/2015,26516
7d60b38a-ef4e-4032-ab65-fca27251b05a,James Jimenez,59,1723163,Port Joshua,Delaware,d7684ef3-0df9-46c1-a75a-0b8ea0af363e,Auto,375737,13.44,Defaulted,374,1/16/2024,36931
c3b765cc-81d7-493b-a82c-26a16d30c6ee,Brian Smith,56,1500298,Patriciaberg,Arizona,698fcbd0-6c62-4377-9726-fd983e5208bb,Personal,3707892,19.62,Defaulted,339,8/31/2023,75630
bb499759-e486-43da-b41e-6d7acc3000e8,Carolyn Francis,58,1074244,Shannonborough,Vermont,0c9dd76e-7f6b-4d68-88d0-bf6d5cc4c215,Home,1454619,15.33,Active,418,6/25/2022,12624
e4a2e59e-ddab-4121-a99c-7b8fab39188a,Carrie Smith,45,1291118,Lake Leslietown,Kansas,4ae6ce48-aba4-4d98-8645-9c9bebcdec21,Business,2937320,18.43,Closed,372,9/6/2017,24872
9ca34266-a3e9-4514-bebc-c73314021aac,Pamela Nelson,24,198267,South Jasonmouth,California,6d98b748-2bef-47ee-94df-699df7b8eabd,Auto,4897363,15.49,Closed,503,9/2/2021,33791
7e6ab094-3583-4f64-a83c-c17ec9f92083,Diane King,26,1928241,East Jeffreyton,Tennessee,34e61f5f-6769-4db7-b093-92519d92a426,Business,944030,16.03,Defaulted,395,10/27/2020,5652
830d9bc2-ad67-4d4e-bb19-a1db6baf1539,Adam Ferguson,25,175489,Kingtown,Louisiana,629f2087-a9c7-462b-ae72-0a2ee2deb994,Auto,3703980,9.36,Active,578,1/24/2018,36516
c3362d8f-bb3b-49ad-a10c-3b01ff91aaad,Daniel Armstrong,29,364126,Parkershire,Tennessee,65a007e2-9109-408a-bfd8-9323249afb78,Home,3411661,9.55,Closed,442,12/16/2015,92508
b0d5633a-0023-4751-9f8d-ff9ab34f5136,Raymond White,51,1698997,Riverachester,Florida,5dbaea71-b842-4197-9e86-00c36aba0fdc,Personal,3515461,16.74,Closed,414,6/23/2024,9095
790d449b-7efc-485e-b6f4-22be93f9fa30,Willie Norton,50,1865759,Colemanshire,Mississippi,29ed57e8-0a10-42cc-b0ae-567e5f728bf7,Business,4965471,9.45,Defaulted,775,3/16/2018,69893
